School / District,English: Standard Met or Exceeded 2018,English: Standard Met or Exceeded 2019,English: Percentage Changed,Math: Standard Met or Exceeded 2018,Math: Standard Met or Exceeded 2019,Math: Percentage Changed,IsSchool
Diamond Creek Elementary,67.47,64.53,-2.94,65.07,66.33,1.26,1
Arlington Elementary,70.95,71.19,0.24,74.25,76.77,2.52,1
Bonsall West Elementary,77.74,64.53,-13.21,70.1,67.23,-2.87,1
S. A. Moffett Elementary,77.11,76.43,-0.68,77.74,73.74,-4,1
Valley View Community Elementary,66,59.46,-6.54,56.19,52.53,-3.66,1
William H. Frazier Elementary,55.28,54.45,-0.83,43.55,47.47,3.92,1
Shackelford Elementary,12.8,14.83,2.03,6.06,7.07,1.01,1
Carmel Del Mar Elementary,88.96,88.78,-0.18,86.15,88.55,2.4,1
Mountain View Elementary,49.36,57.24,7.88,41.72,45.12,3.4,1
SBE - Ridgecrest Charter School District,29.33,32.32,2.99,25,27.36,2.36,0
Ridgecrest Charter,29.33,32.32,2.99,25,27.36,2.36,1
Woodville Union Elementary School District,17.09,19.26,2.17,16.73,21.21,4.48,0
Woodville Elementary,17.09,19.26,2.17,16.73,21.21,4.48,1
Hollister Prep,87.82,87.21,-0.61,75.21,72.39,-2.82,1
Blosser Lane Elementary,19.43,21.28,1.85,17.83,22.3,4.47,1
Renaissance Academy,64.58,54.27,-10.31,43.75,37.04,-6.71,1
Huntington Park Senior High,48.49,51.35,2.86,11.41,17.93,6.52,1
West Adams Preparatory High,46.09,40.88,-5.21,15.16,21.02,5.86,1
Sonoma Valley High,53.33,57.77,4.44,36.11,29.73,-6.38,1
Monterey High,64.69,58.98,-5.71,38.18,32.08,-6.1,1
Trinity Alps Unified School District,42.69,51.69,9,33.05,42.21,9.16,0
Capri Elementary,59.58,61.36,1.78,60.34,58.78,-1.56,1
James Earl Carter Elementary,70.41,72.2,1.79,60.12,56.08,-4.04,1
Nevin Avenue Elementary,33.86,33.22,-0.64,31.78,30.74,-1.04,1
Veva Blunt Elementary,31.25,28.04,-3.21,18.82,20.61,1.79,1
Wilbur Charter For Enriched Academics,66.9,66.55,-0.35,54.01,56.66,2.65,1
Loretta Lampton Elementary,47.67,49.32,1.65,38.21,46.28,8.07,1
Midland Elementary,33.77,34.46,0.69,26.16,26.69,0.53,1
Strandwood Elementary,71.86,71.62,-0.24,65.54,63.85,-1.69,1
Melville S. Jacobson Elementary,25.88,33.67,7.79,26.75,29.73,2.98,1
Leffingwell Elementary,80.55,76.61,-3.94,71.33,68.24,-3.09,1
Hugo Reid Elementary,76.33,72.22,-4.11,67.82,72.64,4.82,1
Stevens Creek Elementary,85.86,85.52,-0.34,87.63,88.47,0.84,1
Hope View Elementary,80.3,77.36,-2.94,70.08,70.27,0.19,1
Parkway Elementary,20,28.72,8.72,16.05,18.58,2.53,1
Stoneridge Elementary,74.31,73.65,-0.66,65.16,60.34,-4.82,1
Valentine Elementary,94.04,94.56,0.52,92.86,90.88,-1.98,1
Pacheco Elementary,60.88,54.39,-6.49,59.52,56.76,-2.76,1
Chula Vista Hills Elementary,68,63.27,-4.73,61.2,56.08,-5.12,1
Marengo Ranch Elementary,51.2,55.25,4.05,38.36,38.85,0.49,1
Captain Leland Norton Elementary,31.35,38.91,7.56,27.9,28.72,0.82,1
Faylane Elementary,56.63,60.47,3.84,52.75,58.11,5.36,1
Holder Elementary,49.31,55.41,6.1,45.52,52.03,6.51,1
Monte Vista Elementary,52.2,49.32,-2.88,37.84,41.89,4.05,1
Monterey Elementary,16.46,17.12,0.66,12.8,15.88,3.08,1
Skyblue Mesa Elementary,47.43,53.04,5.61,36.26,41.55,5.29,1
Ocean Charter,68.29,67.23,-1.06,53.66,53.04,-0.62,1
Perkins K-8,22.43,26.53,4.1,14.76,16.89,2.13,1
Creative Arts Charter,72.76,73.65,0.89,67.83,65.41,-2.42,1
Buena Vista Elementary,29.79,30.85,1.06,20,21.77,1.77,1
Miller Elementary,62.03,58.31,-3.72,56.08,58.31,2.23,1
Birdielee V. Bright Elementary,45.05,43.73,-1.32,31.4,33.22,1.82,1
James Monroe Elementary,75.27,77.29,2.02,78.45,79.66,1.21,1
Machado Elementary,23.73,21.77,-1.96,18.58,21.69,3.11,1
Spreckels Elementary,52.35,59.73,7.38,53.69,61.9,8.21,1
Arbuckle Elementary,44.19,48.46,4.27,40.98,46.1,5.12,1
Cypress Elementary,26.28,30.51,4.23,20.26,20.89,0.63,1
Twelve Bridges Elementary,72.09,71.53,-0.56,68.54,69.15,0.61,1
Ramona Elementary,23.83,27.12,3.29,11.19,14.58,3.39,1
Dunn Elementary,25.16,26.03,0.87,15.96,23.39,7.43,1
Robinson Elementary,71.3,70.51,-0.79,57.32,60,2.68,1
McKinley Elementary,55.2,58.39,3.19,56.55,58.31,1.76,1
Catheryn Gates Elementary,64.13,59.18,-4.95,65.94,53.56,-12.38,1
Brookside Elementary,80.33,77.63,-2.7,76.41,79.66,3.25,1
Edward Russell Elementary,31.86,31.63,-0.23,26.33,29.15,2.82,1
Spring Creek Matanzas Charter,49.4,47.62,-1.78,30.84,31.86,1.02,1
Edison-Bethune Charter Academy,38.23,38.31,0.08,40.82,37.29,-3.53,1
Tom Maloney Elementary,63.69,77.89,14.2,62.27,75.25,12.98,1
Jeane Thorman Elementary,39.42,36.18,-3.24,26.79,21.36,-5.43,1
James A. Whitaker Elementary,38.79,38.14,-0.65,37.5,41.69,4.19,1
Mountain Avenue Elementary,82.61,83.05,0.44,65.23,76.95,11.72,1
Elmer Wood Elementary,59.29,57.63,-1.66,41.28,50.17,8.89,1
El Portal Elementary,60.44,68.81,8.37,60.07,62.71,2.64,1
Classical Academy High,71,62.46,-8.54,57.86,52.92,-4.94,1
Yucca Elementary,22.18,25.51,3.33,19.85,18.43,-1.42,1
Ricardo Lizarraga Elementary,23.81,26.28,2.47,18.79,26.87,8.08,1
Joyner Elementary,41.18,31.62,-9.56,26.38,24.49,-1.89,1
Rivera Elementary,46.3,41.5,-4.8,26.13,32.99,6.86,1
Heaton Elementary,20.33,21.16,0.83,13.82,11.9,-1.92,1
Barton Hill Elementary,25.08,22.79,-2.29,17.31,23.47,6.16,1
Chaparral Elementary,73.7,75.51,1.81,65.58,69.73,4.15,1
Maple Elementary,38.72,37.07,-1.65,25,28.57,3.57,1
Biggs Unified School District,29.67,36.73,7.06,18.33,18.03,-0.3,0
Vista Grande Elementary,61.36,57.82,-3.54,59.52,57.14,-2.38,1
Rocketship Mateo Sheedy Elementary,48.55,58.16,9.61,62.27,64.97,2.7,1
La Ballona Elementary,54.39,57.53,3.14,52.28,51.36,-0.92,1
Pacific Drive Elementary,31.72,31.06,-0.66,21.92,26.19,4.27,1
Brookhaven Elementary,77.93,77.55,-0.38,76.69,76.87,0.18,1
Earl Legette Elementary,52.12,60.62,8.5,48.53,54.08,5.55,1
Levi H. Dickey Elementary,43.07,34.59,-8.48,23.72,23.47,-0.25,1
Terrace Elementary,34.53,39.45,4.92,30.09,34.69,4.6,1
Ralph Waldo Emerson Junior High,73.33,74.06,0.73,67.7,65.64,-2.06,1
Diamond View Middle,40.91,30.72,-10.19,33.88,27.55,-6.33,1
Quantum Academy,61.94,60.54,-1.4,43.69,44.22,0.53,1
South El Monte High,69.63,61.17,-8.46,32.21,22.95,-9.26,1
Searles Elementary,34.78,41.03,6.25,26.56,28.08,1.52,1
Loma Vista Elementary,58.7,56.66,-2.04,50.62,53.77,3.15,1
Manuel L. Real Elementary,35.14,38.54,3.4,22,34.81,12.81,1
Dolores Huerta Elementary,49.84,49.49,-0.35,38.03,43,4.97,1
Escalona Elementary,59.31,64.04,4.73,49.31,58.7,9.39,1
Cox Academy,24.81,22.73,-2.08,23.91,15.02,-8.89,1
Neil Cummins Elementary,76.82,83.51,6.69,73.84,78.84,5,1
Manzanita Elementary,55.4,59.04,3.64,48.91,52.22,3.31,1
Fairmont Charter Elementary,42.09,36.52,-5.57,33.33,29.01,-4.32,1
School of Engineering & Sciences,54,53.95,-0.05,36.88,37.54,0.66,1
Abraham Lincoln Elementary,27.3,26.3,-1,26.17,22.18,-3.99,1
Ripon Elementary,61.64,68.84,7.2,43.61,46.76,3.15,1
Nevada City School of the Arts,51.71,54.95,3.24,35.11,44.03,8.92,1
Sunset,24.75,26.28,1.53,11.45,12.03,0.58,1
Golden Hills Elementary,41.44,32.08,-9.36,24.32,26.71,2.39,1
Heliotrope Avenue Elementary,35.24,35.4,0.16,25.95,33.22,7.27,1
Cullen Elementary,68.94,73.63,4.69,60.76,67.12,6.36,1
Roscoe Elementary,34.15,33.22,-0.93,28.52,30.48,1.96,1
Smiley Elementary,65,65.29,0.29,57.48,57.19,-0.29,1
Preston Elementary,29.27,30.48,1.21,16.08,18.49,2.41,1
Abraham Lincoln Elementary,44.88,48.62,3.74,36.27,40,3.73,1
Bijou Community,38.8,32.53,-6.27,25.33,25.34,0.01,1
Folsom Hills Elementary,78.29,77.05,-1.24,73.84,66.78,-7.06,1
Casita Center for Science/Math/Technology,72.64,73.29,0.65,55.41,65.41,10,1
Allan Orrenmaa Elementary,39.64,36.64,-3,29.12,19.86,-9.26,1
Peter Burnett Elementary,22.36,29.45,7.09,19.64,19.86,0.22,1
Victory Boulevard Elementary,45.26,42.05,-3.21,35.23,27.05,-8.18,1
Cleo Gordon Elementary,22.53,25.95,3.42,19.11,22.6,3.49,1
Reche Canyon Elementary,41.07,42.41,1.34,24.14,26.37,2.23,1
Thomas Jefferson Elementary,45.15,46.69,1.54,25.38,29.79,4.41,1
Union Hill Elementary,39.59,52.4,12.81,37.88,39.18,1.3,1
John Reith Elementary,35.06,35.74,0.68,26.3,24.66,-1.64,1
Jackson Elementary,31.45,42.41,10.96,31.33,38.36,7.03,1
Vallejo Mill Elementary,53.77,59.93,6.16,51.18,54.79,3.61,1
Sutterville Elementary,47.3,57.53,10.23,40.88,46.92,6.04,1
Aspire Alexander Twilight Secondary Academy,29.24,24.83,-4.41,24.83,17.61,-7.22,1
Sisson,58.89,49.32,-9.57,42.21,37.46,-4.75,1
Eastwood Elementary,71.2,67.03,-4.17,70.64,70.21,-0.43,1
Barstow High,44.37,43.64,-0.73,17.88,16.32,-1.56,1
Sebastopol Union Elementary School District,45.45,59.11,13.66,27.45,45.36,17.91,0
Jefferson Elementary,28.08,26.21,-1.87,29.87,31.27,1.4,1
Central Elementary,35.71,40.69,4.98,30.29,37.46,7.17,1
Sunnymeadows Elementary,38.98,41.18,2.2,33.44,36.08,2.64,1
Carson-Gore Academy of Enviornmental Studies,37.72,44.76,7.04,28.77,34.36,5.59,1
Freedom Elementary,27.67,36.11,8.44,20.81,26.46,5.65,1
Garden Gate Elementary,85.38,83.99,-1.39,87.86,90.03,2.17,1
Spreckels Elementary,59.79,61.51,1.72,50.68,54.48,3.8,1
Ralph Emerson Elementary,61.28,64.6,3.32,58.47,58.42,-0.05,1
West Portal Elementary,67.13,65.29,-1.84,65.29,67.7,2.41,1
Steffan Manor Elementary,25.87,26.8,0.93,15.26,21.03,5.77,1
Fremont Elementary,16.33,20.27,3.94,13.1,17.59,4.49,1
Valley of Enchantment Elementary,38.59,36.43,-2.16,29.53,24.14,-5.39,1
Franklin Elementary,55.97,57.39,1.42,44.97,49.14,4.17,1
Neil A. Armstrong Elementary,75.17,78.69,3.52,76.35,81.1,4.75,1
Taft Elementary,20.25,23.96,3.71,16.82,17.53,0.71,1
Elliott (William F) Elementary,71.48,64.95,-6.53,60.46,56.7,-3.76,1
Fairmont Elementary,45.74,48.95,3.21,34.04,42.61,8.57,1
Beamer Elementary,32.27,37.46,5.19,23.96,26.46,2.5,1
Los Robles Elementary,34.45,28.37,-6.08,27.48,28.18,0.7,1
Julia Morgan Elementary,50.51,49.83,-0.68,43.99,45.36,1.37,1
Fallbrook Street Elementary,36.84,33.45,-3.39,26.28,24.05,-2.23,1
Lawless Elementary,33.33,33.22,-0.11,25.52,32.65,7.13,1
Desert Trails Preparatory Academy,46.18,51.2,5.02,37.79,40.63,2.84,1
Caleb Greenwood Elementary,65.95,76.12,10.17,65.23,65.52,0.29,1
Emery Park Elementary,55.71,56.6,0.89,37.8,44.33,6.53,1
Whitmore Charter School of Art & Technology,72.57,62.07,-10.5,37.85,35.4,-2.45,1
Alpha: Blanca Alvarado Middle,40.53,40.21,-0.32,43.73,48.8,5.07,1
Skyline High,45.49,33.33,-12.16,28.32,14.91,-13.41,1
San Lorenzo High,41.43,47.18,5.75,16.14,22.22,6.08,1
Fernangeles Elementary,33.22,35.19,1.97,21.5,25.52,4.02,1
Castelar Street Elementary,49.69,54.01,4.32,43.77,48.28,4.51,1
Horace Mann Elementary,68.49,73.5,5.01,67.21,71.38,4.17,1
Coast Unified School District,50,52.07,2.07,40.51,37.93,-2.58,0
Melrose Elementary,35.91,40.14,4.23,27.91,30.69,2.78,1
Live Oak Elementary,36.33,30.45,-5.88,22.61,18.97,-3.64,1
Golden View Elementary,87.16,80.97,-6.19,88.08,81.38,-6.7,1
Twain Elementary,56.31,70.14,13.83,54.25,57.24,2.99,1
Crestline Elementary,12.81,10.03,-2.78,4.26,5.21,0.95,1
Vandalia Elementary,34.12,33.33,-0.79,37.71,25.86,-11.85,1
Bancroft Elementary,70.48,65.97,-4.51,58.99,61.03,2.04,1
California Avenue Elementary,28.23,24.83,-3.4,22.8,22.76,-0.04,1
Logan K-8,31.53,37.24,5.71,29.11,34.6,5.49,1
Foothill Elementary,35.47,36.68,1.21,26.6,25.86,-0.74,1
Mary Ann Sanders Elementary,52.57,56.06,3.49,40.81,47.93,7.12,1
Westwood Elementary,33.55,32.76,-0.79,25.08,21.8,-3.28,1
Echo Valley Elementary,19.02,25.26,6.24,15.22,16.61,1.39,1
Williams Junior/Senior High,11.57,28.42,16.85,9.59,14.83,5.24,1
Captain Raymond Collins,30.57,30.69,0.12,20.91,24.31,3.4,1
Fremont Elementary,38.18,40.48,2.3,23.99,24.48,0.49,1
Christa McAuliffe Elementary,52.55,55.75,3.2,47.25,43.4,-3.85,1
Empire Oaks Elementary,79.79,81.38,1.59,74.74,72.76,-1.98,1
Joseph M. Simas,62.5,59.31,-3.19,53.95,56.4,2.45,1
Frontier Elementary,45.88,40.97,-4.91,40.5,38.97,-1.53,1
International School of Monterey,65.05,62.85,-2.2,43.9,41.87,-2.03,1
CORE Placer Charter,30.64,39.31,8.67,15.74,14.83,-0.91,1
Carl Smith Middle,30.74,27.97,-2.77,26.87,20.42,-6.45,1
Orchard Ranch Elementary,66.67,72.41,5.74,74.21,66.21,-8,1
Fairfax Senior High,42.64,70.93,28.29,32.41,38.11,5.7,1
Petaluma High,72.59,73.61,1.02,44.83,42.61,-2.22,1
Louise Foussat Elementary,42.14,43.25,1.11,37.86,40.83,2.97,1
Carrillo Ranch Elementary,46.27,47.75,1.48,38.02,38.33,0.31,1
McKinley Elementary,46.46,58.54,12.08,45.85,51.21,5.36,1
Oak Street Elementary,27.22,32.4,5.18,24.32,26.99,2.67,1
First Street Elementary,20.58,24.57,3.99,12.58,15.92,3.34,1
Reidy Creek Elementary,54.86,52.26,-2.6,51.04,44.79,-6.25,1
Round Meadow Elementary,71.38,69.1,-2.28,68.12,67.47,-0.65,1
Wood Ranch Elementary,62.45,52.94,-9.51,58.74,56.75,-1.99,1
San Diego County Community,5.86,11.54,5.68,0,1.73,1.73,1
Buri Buri Elementary,64.08,60.35,-3.73,61.03,57.44,-3.59,1
North Verdemont Elementary,57.38,51.56,-5.82,44.74,48.44,3.7,1
Madison Elementary,39.45,36.24,-3.21,26.8,29.07,2.27,1
Valencia Elementary,62.21,64.71,2.5,57.53,57.84,0.31,1
Capistrano Elementary,43.17,45.58,2.41,32.38,35.99,3.61,1
Ernie Pyle Elementary,42.32,41.67,-0.65,30.82,37.37,6.55,1
Arcohe Union Elementary School District,40.35,47.04,6.69,46.5,49.83,3.33,0
Arcohe Elementary,40.35,47.04,6.69,46.5,49.83,3.33,1
Colony Oak Elementary,58.25,53.87,-4.38,53.02,50.88,-2.14,1
Reseda Senior High,46.9,44.25,-2.65,17.56,30.21,12.65,1
Verdugo Hills Senior High,54.26,55.21,0.95,27.02,30.53,3.51,1
Mills High,77.03,75.26,-1.77,70.18,66.32,-3.86,1
Major Lynn Mokler,32.2,38.81,6.61,29.85,41.67,11.82,1
Sunkist Elementary,36.05,40.63,4.58,22.19,30.21,8.02,1
Madison Elementary,46.62,47.92,1.3,40.85,36.46,-4.39,1
Hidden Valley Elementary,,65.51,,,59.23,,1
Northmead Elementary,54.83,60.07,5.24,47.96,50.69,2.73,1
T. S. MacQuiddy Elementary,19.59,23.96,4.37,13.95,15.97,2.02,1
California Virtual Academy @ Sonoma,32.89,38.25,5.36,15.88,16.61,0.73,1
Nordstrom Elementary,66.55,67.01,0.46,61.43,61.89,0.46,1
Peter Pendleton Elementary,28.12,37.54,9.42,18.85,28.47,9.62,1
Prisk Elementary,78.87,80.9,2.03,73.94,78.05,4.11,1
Charles Wright Elementary,30.45,33.33,2.88,21.35,22.92,1.57,1
Schendel Elementary,29.69,36.14,6.45,23.57,26.04,2.47,1
Stuart Mesa Elementary,38.11,46.53,8.42,38.81,40.63,1.82,1
Canyon Springs Community Elementary,48.63,49.12,0.49,39.86,36.14,-3.72,1
Post Elementary,59.14,65.63,6.49,61.92,68.4,6.48,1
Abraham Lincoln Elementary,66.55,68.55,2,60.54,62.85,2.31,1
Island Union Elementary School District,61.37,63.89,2.52,51.81,54.86,3.05,0
Island Elementary,61.37,63.89,2.52,51.81,54.86,3.05,1
ACE Esperanza Middle,17.49,26.86,9.37,19.34,26.83,7.49,1
Concord High,50.76,55.56,4.8,30.24,28.78,-1.46,1
Woodland Senior High,46.38,57.89,11.51,18.21,14.98,-3.23,1
Fay Elementary,33.01,28.62,-4.39,28.34,31.01,2.67,1
Selma Herndon Elementary,37.32,43.71,6.39,29.47,37.63,8.16,1
One Hundred Eighteenth Street,37.38,36.36,-1.02,41.16,42.86,1.7,1
Ernest R. Geddes Elementary,30.45,35.89,5.44,27.68,31.71,4.03,1
Madison Avenue Elementary,43.39,40.35,-3.04,39.07,35.54,-3.53,1
Springbrook Elementary,70.48,68.18,-2.3,66.57,65.85,-0.72,1
Camino Grove Elementary,74.74,78.34,3.6,76.77,74.91,-1.86,1
Cram Elementary,62.81,67.6,4.79,57.75,67.94,10.19,1
Las Palmas Elementary,42.96,43.82,0.86,29.43,37.63,8.2,1
Vejar Elementary,73.13,68.9,-4.23,79.4,76.66,-2.74,1
Merced Elementary,68.97,68.64,-0.33,63.45,68.64,5.19,1
Rowland Elementary,30,34.04,4.04,28.72,25.44,-3.28,1
North Park Elementary,42.86,50.17,7.31,25.94,39.02,13.08,1
La Honda STEAM Academy,25.27,26.5,1.23,19.03,24.04,5.01,1
Margaret Hedrick Elementary,43.12,47.2,4.08,21.53,31.01,9.48,1
Bitely (Arlene) Elementary,61.37,64.13,2.76,55.87,61.67,5.8,1
Mission Avenue Open Elementary,57.43,54.7,-2.73,41.36,38.46,-2.9,1
Bannon Creek,17.27,20.56,3.29,12.05,13.24,1.19,1
Abraham Lincoln Elementary,78.29,77.35,-0.94,64.18,64.81,0.63,1
Carquinez Middle,38.14,37.54,-0.6,26.64,22.3,-4.34,1
Magnolia Science Academy 2,34.32,41.11,6.79,25.57,27.87,2.3,1
South Bay Union Elementary School District,41.75,44.41,2.66,28.42,31.12,2.7,0
Palm Tree Elementary,33.82,35.21,1.39,22.43,23.78,1.35,1
Country Lane Elementary,82.27,80,-2.27,82.33,80.42,-1.91,1
Murdock Elementary,26.13,27.62,1.49,24.04,21.48,-2.56,1
Bollinger Canyon Elementary,84.48,82.87,-1.61,84.48,82.52,-1.96,1
Red Hawk Elementary,77.82,79.58,1.76,71.83,72.38,0.55,1
Arroyo Elementary,26.93,27.5,0.57,19.06,22.03,2.97,1
Lakewood Elementary,46.98,50.35,3.37,38.26,43.86,5.6,1
Bahia Vista Elementary,14.23,19.49,5.26,19.12,26.32,7.2,1
Mission Elementary,57.97,58.1,0.13,46.62,41.96,-4.66,1
Rose Ferrero Elementary,37.94,37.41,-0.53,24.12,29.12,5,1
Sequoia Elementary,73.67,69.82,-3.85,74.73,66.67,-8.06,1
Taylor Leadership Academy,16.28,17.61,1.33,12.96,9.44,-3.52,1
Emma W. Shuey Elementary,68.51,64.79,-3.72,68.15,62.59,-5.56,1
Twin Rivers Charter,58.05,61.62,3.57,40.6,52.8,12.2,1
ICEF View Park Preparatory Charter Middle,31.27,38.25,6.98,11.55,10.53,-1.02,1
Woodside Elementary School District,87.07,86.71,-0.36,84.41,84.56,0.15,0
Woodside Elementary,87.07,86.71,-0.36,84.41,84.56,0.15,1
ACE Empower Academy,16.72,19.23,2.51,22.84,17.83,-5.01,1
Harriet Tubman Village Charter,37.59,39.16,1.57,25.09,29.47,4.38,1
Serra High,61.6,50.18,-11.42,32.49,40.85,8.36,1
Theodore Roosevelt Senior High,50.55,43.16,-7.39,8.79,12.14,3.35,1
Terra Linda High,62.64,62.18,-0.46,45.09,44.91,-0.18,1
Ericson Elementary,76.41,74.74,-1.67,78.09,77.82,-0.27,1
Independent Elementary,71.65,77.89,6.24,75,75.44,0.44,1
Terra Bella Elementary,28.52,33.68,5.16,26.96,33.33,6.37,1
Fred L. Williams Elementary,36.01,30,-6.01,21.15,21.05,-0.1,1
Harmony Elementary,15.36,16.79,1.43,8.13,10.18,2.05,1
F. D. Roosevelt Elementary,39.13,39.15,0.02,35.84,35.79,-0.05,1
Mountain Vista,23.41,22.26,-1.15,18.03,18.25,0.22,1
Los Molinos Unified School District,41.7,46.13,4.43,31.21,34.51,3.3,0
Cordillera Elementary,55.48,48.76,-6.72,48.23,45.61,-2.62,1
Myers Elementary,35.71,36.84,1.13,25.56,29.82,4.26,1
Cornell Elementary,81.63,83.63,2,76.84,76.49,-0.35,1
North Shore Elementary,55.1,54.04,-1.06,40.32,41.75,1.43,1
Fern Drive Elementary,56.55,54.06,-2.49,46.65,54.74,8.09,1
Helendale Elementary,51.81,49.12,-2.69,42.03,46.32,4.29,1
Today's Fresh Start Charter School Inglewood,45.86,36.49,-9.37,31.83,31.58,-0.25,1
Bayside STEAM Academy,20.79,25.27,4.48,16.55,17.19,0.64,1
Willard F. Payne Elementary,28.41,31.6,3.19,16.79,22.97,6.18,1
Rose Avenue Elementary,43.75,36.14,-7.61,29.17,25.61,-3.56,1
Hermosa Drive Elementary,52.88,56.49,3.61,48.41,54.74,6.33,1
Hancock Park Elementary,72.22,71.68,-0.54,62.37,64.08,1.71,1
North Broadway Elementary,45.66,43.82,-1.84,38.71,35.56,-3.15,1
Crescent Elementary,45.55,48.76,3.21,34.52,40.49,5.97,1
Washington,47.64,47.54,-0.1,40.94,43.31,2.37,1
California Elementary,40.86,45.07,4.21,24.01,21.91,-2.1,1
Avalon K-12,28.36,34.98,6.62,23.55,23.59,0.04,1
Julien Hathaway Elementary,27.18,23.67,-3.51,17.77,16.55,-1.22,1
William Burnett Elementary,61.59,66.19,4.6,60.53,60.92,0.39,1
Foothill Elementary,32.97,34.28,1.31,28.73,26.06,-2.67,1
Maxson Elementary,40.27,40.99,0.72,30.41,34.51,4.1,1
Murphy Ranch Elementary,79.93,81.63,1.7,68.61,69.37,0.76,1
Daves Avenue Elementary,81.23,82.14,0.91,76.79,79.58,2.79,1
De Portola Elementary,78.66,80.28,1.62,72.7,75.35,2.65,1
Adams Elementary,31.86,36.2,4.34,24.32,27.46,3.14,1
Von Renner Elementary,22.86,26.06,3.2,23.58,20.42,-3.16,1
Atascadero High,60.78,50.53,-10.25,28.74,30.25,1.51,1
Center High,54.88,69.64,14.76,31.71,42.45,10.74,1
Granite Hills High,49.69,53.71,4.02,11.56,19.43,7.87,1
Del Mar High,61.33,63.25,1.92,25,27.3,2.3,1
Sir Francis Drake High,65.61,76.16,10.55,48.04,62.77,14.73,1
Santa Margarita Elementary,64.38,64.31,-0.07,56.7,61.7,5,1
Serrania Avenue Charter For Enriched Studies,66.79,63.25,-3.54,59.7,57.95,-1.75,1
Palmquist Elementary,46.71,55.48,8.77,39.79,42.4,2.61,1
Rossmoor Elementary,84.83,79.15,-5.68,83.28,80.14,-3.14,1
Della S. Lindley Elementary,45.27,45.2,-0.07,31.99,36.75,4.76,1
Harry Wirtz Elementary,35.99,39.15,3.16,29.79,31.45,1.66,1
Christa McAuliffe Elementary,46.29,46.64,0.35,40.64,37.81,-2.83,1
Ladd Lane Elementary,56.9,55.48,-1.42,41.16,37.94,-3.22,1
Richmond Street Elementary,77.12,79.15,2.03,70.59,78.01,7.42,1
Hesperian Elementary,23.69,25.18,1.49,18.06,22.97,4.91,1
Norman R. Brekke Elementary,36.55,44.52,7.97,18.97,29.33,10.36,1
Mission Elementary,30.22,31.32,1.1,19.15,18.73,-0.42,1
Juniper Elementary,31.12,32.86,1.74,24.21,28.27,4.06,1
Glen View Elementary,30.18,33.81,3.63,29.23,31.8,2.57,1
Theodore Vick Elementary,25.59,27.3,1.71,16.33,22.26,5.93,1
Turtleback Elementary,65.56,65.37,-0.19,72.59,65.02,-7.57,1
Topeka Charter School For Advanced Studies,70.59,70.32,-0.27,62.85,59.36,-3.49,1
Creekside Elementary,84.4,86.22,1.82,79.58,85.51,5.93,1
Live Oak Elementary,51.63,52.31,0.68,45.1,45.94,0.84,1
Encino Charter Elementary,80.78,81.56,0.78,77.86,79.51,1.65,1
Ada Clegg Elementary,67.44,72.34,4.9,62.79,67.14,4.35,1
San Jacinto Elementary,30.92,28.27,-2.65,27.2,27.56,0.36,1
Pinedale Elementary,40.43,37.94,-2.49,37.18,35.69,-1.49,1
Wagner-Holt Elementary,26.91,28.27,1.36,16.5,20.85,4.35,1
La Crescenta Elementary,62.84,59.72,-3.12,56.11,61.48,5.37,1
Jefferson Elementary,41.32,44.88,3.56,21.88,26.5,4.62,1
Ocean Shore Elementary,66.43,66.43,0,64.29,57.8,-6.49,1
Sequoia Elementary,64.48,63.25,-1.23,57.36,57.6,0.24,1
Tice Creek,80.49,79.15,-1.34,73.52,75.62,2.1,1
Arroyo,76.15,76.33,0.18,74.09,73.05,-1.04,1
El Segundo High,83.85,83.69,-0.16,72.16,78.72,6.56,1
Orange Glen Elementary,42.07,43.06,0.99,29.49,30.5,1.01,1
Cambridge Elementary,8.96,16.85,7.89,6.03,13.48,7.45,1
Creekside Oaks Elementary,55.67,54.96,-0.71,48.59,54.64,6.05,1
Amelia Earhart Elementary,84.29,83.99,-0.3,83.63,86.88,3.25,1
Sierra View Elementary,80.99,75.09,-5.9,75.79,71.89,-3.9,1
Guadalupe Elementary,82.27,80.8,-1.47,84.9,82.27,-2.63,1
Northlake Hills Elementary,64.38,62.86,-1.52,54.69,57.45,2.76,1
Murdock-Portal Elementary,91.64,92.55,0.91,93.73,93.26,-0.47,1
San Miguel Elementary,37.27,41.99,4.72,28.48,32.98,4.5,1
E. Hale Curran Elementary,58.17,56.38,-1.79,49.51,48.94,-0.57,1
Windsor Hills Math Science,38.58,20.92,-17.66,25.47,18.86,-6.61,1
David Lubin Elementary,56.14,63.83,7.69,51.23,55.67,4.44,1
Helen M. Lehman Elementary,,18.71,,,18.09,,1
Greentree Elementary,67.28,63.83,-3.45,60.81,54.96,-5.85,1
Monterey Bay Charter,62.45,58.36,-4.09,45.53,36.88,-8.65,1
Woodrow Wallace Middle,20.64,36.65,16.01,15.36,18.44,3.08,1
El Camino High,60.19,67.86,7.67,37.62,41.64,4.02,1
Northview High,63.34,57.35,-5.99,27.01,30.25,3.24,1
Jefferson High,56.28,52.14,-4.14,21.31,24.19,2.88,1
Hunt Elementary,30.64,31.07,0.43,17.69,14.59,-3.1,1
Wilcox Elementary,33.45,36.43,2.98,30.32,33.45,3.13,1
Pioneer Elementary,58.84,57.3,-1.54,48.64,49.11,0.47,1
